experiment_id,model,workload,component,pearson_r,n_steps
20260217-155451-llama-2-7b-tp1-codegen,llama-2-7b,codegen,prefill_gemm_us,0.022674750102842145,15588
20260217-155451-llama-2-7b-tp1-codegen,llama-2-7b,codegen,prefill_attn_us,0.0048064325176549625,15588
20260217-155451-llama-2-7b-tp1-codegen,llama-2-7b,codegen,decode_gemm_us,0.472852958183851,15588
20260217-155451-llama-2-7b-tp1-codegen,llama-2-7b,codegen,total_analytical_us,0.24904952950689818,15588
20260217-162547-llama-2-7b-tp1-roleplay,llama-2-7b,roleplay,prefill_gemm_us,0.07114746374513162,15216
20260217-162547-llama-2-7b-tp1-roleplay,llama-2-7b,roleplay,prefill_attn_us,0.0352162685723702,15216
20260217-162547-llama-2-7b-tp1-roleplay,llama-2-7b,roleplay,decode_gemm_us,0.4451572196818222,15216
20260217-162547-llama-2-7b-tp1-roleplay,llama-2-7b,roleplay,total_analytical_us,0.16736079505227638,15216
20260217-170634-llama-2-7b-tp1-reasoning,llama-2-7b,reasoning,prefill_gemm_us,0.12072978309156668,4966
20260217-170634-llama-2-7b-tp1-reasoning,llama-2-7b,reasoning,prefill_attn_us,0.12277104465687824,4966
20260217-170634-llama-2-7b-tp1-reasoning,llama-2-7b,reasoning,decode_gemm_us,0.037847882783788506,4966
20260217-170634-llama-2-7b-tp1-reasoning,llama-2-7b,reasoning,total_analytical_us,0.11595029519837077,4966
20260217-202857-llama-2-70b-tp4-general,llama-2-70b,general,prefill_gemm_us,0.024015419142061376,5992
20260217-202857-llama-2-70b-tp4-general,llama-2-70b,general,prefill_attn_us,-0.013188292799324465,5992
20260217-202857-llama-2-70b-tp4-general,llama-2-70b,general,decode_gemm_us,0.8495289977397491,5992
20260217-202857-llama-2-70b-tp4-general,llama-2-70b,general,total_analytical_us,0.5954076480261503,5992
20260217-203421-llama-2-70b-hf-tp4-codegen,llama-2-70b-hf,codegen,prefill_gemm_us,0.0064684728841465,6679
20260217-203421-llama-2-70b-hf-tp4-codegen,llama-2-70b-hf,codegen,prefill_attn_us,-0.007921912029508062,6679
20260217-203421-llama-2-70b-hf-tp4-codegen,llama-2-70b-hf,codegen,decode_gemm_us,0.7880543854458884,6679
20260217-203421-llama-2-70b-hf-tp4-codegen,llama-2-70b-hf,codegen,total_analytical_us,0.36001597641675215,6679
20260217-231439-llama-2-7b-tp1-general,llama-2-7b,general,prefill_gemm_us,0.06278253264655544,11264
20260217-231439-llama-2-7b-tp1-general,llama-2-7b,general,prefill_attn_us,-0.013180558177773853,11264
20260217-231439-llama-2-7b-tp1-general,llama-2-7b,general,decode_gemm_us,0.9686224048044174,11264
20260217-231439-llama-2-7b-tp1-general,llama-2-7b,general,total_analytical_us,0.8593006670424423,11264
20260218-065057-llama-2-70b-hf-tp4-reasoning,llama-2-70b-hf,reasoning,prefill_gemm_us,-0.09817790403733137,4448
20260218-065057-llama-2-70b-hf-tp4-reasoning,llama-2-70b-hf,reasoning,prefill_attn_us,-0.0785569431292019,4448
20260218-065057-llama-2-70b-hf-tp4-reasoning,llama-2-70b-hf,reasoning,decode_gemm_us,0.920290069153479,4448
20260218-065057-llama-2-70b-hf-tp4-reasoning,llama-2-70b-hf,reasoning,total_analytical_us,0.23546113910388378,4448
20260218-084319-llama-2-70b-tp4-roleplay,llama-2-70b,roleplay,prefill_gemm_us,0.2328689488653351,6741
20260218-084319-llama-2-70b-tp4-roleplay,llama-2-70b,roleplay,prefill_attn_us,0.2049467312552338,6741
20260218-084319-llama-2-70b-tp4-roleplay,llama-2-70b,roleplay,decode_gemm_us,0.5818950377695208,6741
20260218-084319-llama-2-70b-tp4-roleplay,llama-2-70b,roleplay,total_analytical_us,0.33798591487646135,6741
20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,mixtral-8x7b-v0-1,codegen,prefill_gemm_us,0.058274495316051694,6544
20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,mixtral-8x7b-v0-1,codegen,prefill_attn_us,0.0175957575080619,6544
20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,mixtral-8x7b-v0-1,codegen,decode_gemm_us,0.3584973202548756,6544
20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,mixtral-8x7b-v0-1,codegen,total_analytical_us,0.25281580666939124,6544
20260218-130541-mixtral-8x7b-v0-1-tp2-general,mixtral-8x7b-v0-1,general,prefill_gemm_us,0.41729250269006085,5867
20260218-130541-mixtral-8x7b-v0-1-tp2-general,mixtral-8x7b-v0-1,general,prefill_attn_us,0.3321361636665503,5867
20260218-130541-mixtral-8x7b-v0-1-tp2-general,mixtral-8x7b-v0-1,general,decode_gemm_us,0.9192526555972198,5867
20260218-130541-mixtral-8x7b-v0-1-tp2-general,mixtral-8x7b-v0-1,general,total_analytical_us,0.9419517315299053,5867
20260218-135247-mixtral-8x7b-v0-1-tp2-reasoning,mixtral-8x7b-v0-1,reasoning,prefill_gemm_us,-0.1616034068126298,3676
20260218-135247-mixtral-8x7b-v0-1-tp2-reasoning,mixtral-8x7b-v0-1,reasoning,prefill_attn_us,-0.1490399715618923,3676
20260218-135247-mixtral-8x7b-v0-1-tp2-reasoning,mixtral-8x7b-v0-1,reasoning,decode_gemm_us,0.7240395843296847,3676
20260218-135247-mixtral-8x7b-v0-1-tp2-reasoning,mixtral-8x7b-v0-1,reasoning,total_analytical_us,0.021637233192201025,3676
20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,mixtral-8x7b-v0-1,roleplay,prefill_gemm_us,0.08502090363348903,6677
20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,mixtral-8x7b-v0-1,roleplay,prefill_attn_us,0.024195865487708766,6677
20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,mixtral-8x7b-v0-1,roleplay,decode_gemm_us,0.136212100817722,6677
20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,mixtral-8x7b-v0-1,roleplay,total_analytical_us,0.12065807436308248,6677
20260218-150304-codellama-34b-tp2-general,codellama-34b,general,prefill_gemm_us,0.04202673423208259,7441
20260218-150304-codellama-34b-tp2-general,codellama-34b,general,prefill_attn_us,-0.016079989778982326,7441
20260218-150304-codellama-34b-tp2-general,codellama-34b,general,decode_gemm_us,0.7280721256594813,7441
20260218-150304-codellama-34b-tp2-general,codellama-34b,general,total_analytical_us,0.6435782737020876,7441
20260218-150956-codellama-34b-tp2-codegen,codellama-34b,codegen,prefill_gemm_us,0.13590371421511022,8216
20260218-150956-codellama-34b-tp2-codegen,codellama-34b,codegen,prefill_attn_us,0.03438392338018622,8216
20260218-150956-codellama-34b-tp2-codegen,codellama-34b,codegen,decode_gemm_us,0.5660793109234641,8216
20260218-150956-codellama-34b-tp2-codegen,codellama-34b,codegen,total_analytical_us,0.43427265465548204,8216
20260218-155500-codellama-34b-tp2-roleplay,codellama-34b,roleplay,prefill_gemm_us,0.14165655229584107,8443
20260218-155500-codellama-34b-tp2-roleplay,codellama-34b,roleplay,prefill_attn_us,0.0641324936731534,8443
20260218-155500-codellama-34b-tp2-roleplay,codellama-34b,roleplay,decode_gemm_us,0.289435557195572,8443
20260218-155500-codellama-34b-tp2-roleplay,codellama-34b,roleplay,total_analytical_us,0.20236169943198412,8443
20260218-160939-codellama-34b-tp2-reasoning,codellama-34b,reasoning,prefill_gemm_us,-0.15618712627733072,4994
20260218-160939-codellama-34b-tp2-reasoning,codellama-34b,reasoning,prefill_attn_us,-0.1482995109166529,4994
20260218-160939-codellama-34b-tp2-reasoning,codellama-34b,reasoning,decode_gemm_us,0.8601581497596682,4994
20260218-160939-codellama-34b-tp2-reasoning,codellama-34b,reasoning,total_analytical_us,0.11712091822384865,4994
